date,title,site_id,company,technology_stack,salary_margin,salary,required_experience
2024-01-09,Розробник Full stack (ASP.NET/.NET Core&JS),/jobs/3911616/,Linkos Group,"['Java', 'SQL', 'C#', 'HTML', 'CSS', 'GIT', 'API']",Unknown,,1
2024-01-04,JS developer,/jobs/5473224/,Happyusers,"['Java', 'JS', 'Python', 'English', 'WEB']",As interview result,,5
2024-01-05,Lead Generation Manager,/jobs/5373819/,JavaScript Ninjas,['Java'],Unknown,,0
2023-12-22,Team Lead (PHP/JavaScript Development for Environmental Sustainability),/jobs/5464288/,FTD Solutions,"['PHP', 'Java', 'SQL', 'English', 'GIT', 'API']","[225120, 300160]",262640.0,5
2023-12-27,Full-Stack Javascript Engineer,/jobs/5136700/,CML Team,"['JS', 'SQL', 'English', 'API']","[40000, 100000]",70000.0,1
2024-01-09,Frontend (Vue. js) developer,/jobs/5480643/,Giraffe Software,['JS'],Unknown,,2
2024-01-09,"PHP, JS, Backend, Web Developer",/jobs/3753938/,Solid Solutions,"['PHP', 'Java', 'JS', 'SQL', 'HTML', 'CSS', 'WEB']",Unknown,,1
2024-01-05,"Junior/Middle (JS, Node.js) Cybersecurity and Infrastructure engineer",/jobs/5475761/,Gemicle,"['Java', 'JS', 'Docker', 'GIT', 'NodeJS']",Unknown,,1
2023-12-27,"Full stack програміст (PHP, JS)",/jobs/5417549/,We.ua,"['PHP', 'Java', 'JS', 'SQL', 'Ruby', 'HTML', 'CSS', 'GIT', 'API', 'Redis']","[30000, 50000]",40000.0,1
2023-12-21,Middle Full-Stack JavaScript Developer,/jobs/5418639/,Національні інформаційні системи,"['Java', 'JS', 'SQL', 'Docker', 'HTML', 'CSS', 'GIT', 'WEB', 'API']","[95000, 110000]",102500.0,5
2024-01-10,"Технічний спеціаліст (HTML, JS, PHP, CSS) в магазин miris. store",/jobs/5481925/,"Плахов А.О., ФОП","['PHP', 'JS', 'HTML', 'CSS', 'API']","[35000, 50000]",42500.0,1
2024-01-08,"Intern JavaScript Developer (TypeScript, React, Node. js, стажер)",/jobs/5477670/,SysGears,"['Java', 'JS', 'English']",Unknown,,0
2023-12-28,"Full Stack Developer (WordPress, Gutenberg, React, Next JS)",/jobs/5468011/,One vision,['JS'],Unknown,,5
2024-01-08,Перукар,/jobs/5435702/,JS Studio,['JS'],As interview result,,1
